Nombre,Frecuencia,Edad Media (*),Gender,Percentage,Popularity,Is_Compound,Character_Count,Syllable_Count
POL,22376,16.0,Male,0.1032206446455858,140,False,3,1
ELISABET,22213,38.4,Female,0.1002498596759212,174,False,8,4
JON,21941,26.5,Male,0.1012139866003218,141,False,3,1
LETICIA,21833,35.1,Female,0.0985348753569706,175,False,7,3
IÑIGO,21728,33.9,Male,0.1002314161091924,142,False,5,3
AROA,21691,19.0,Female,0.0978940127956785,176,False,4,2
GERARD,21634,23.0,Male,0.0997977934511353,144,False,6,2
JIMENA,21562,10.1,Female,0.097311820750561,177,False,6,3
GABRIELA,21551,29.3,Female,0.097262176467644,178,False,8,3
ADAM,21068,10.8,Male,0.0971868314887917,146,False,4,2
JUDITH,20904,27.0,Female,0.0943421900087992,182,False,6,2
ARNAU,20801,17.0,Male,0.0959551586196296,148,False,5,2
NORA,20597,14.9,Female,0.0929566632037522,184,False,4,2
BERTA,20147,28.7,Female,0.0909257607207844,185,False,5,2
OLIVER,19949,14.5,Male,0.0920248766551123,150,False,6,3
SHEILA,19945,26.5,Female,0.0900141111617633,187,False,6,2
OLIVIA,19825,14.1,Female,0.0894725371663052,189,False,6,3
ISRAEL,19816,33.5,Male,0.0914113467240315,151,False,6,2
JENNIFER,19761,30.0,Female,0.0891836977020609,190,False,8,3
ORIOL,19695,24.7,Male,0.0908531728769581,152,False,5,2
ALEXANDRA,19695,28.0,Female,0.0888858320045589,192,False,9,4
JUDIT,19556,29.6,Female,0.0882585087931533,194,False,5,2
HELENA,19555,22.7,Female,0.0882539956765245,195,False,6,3
JONATAN,18955,33.4,Male,0.0874395476965087,156,False,7,3
ELOY,18649,38.5,Male,0.086027967554323,157,False,4,2
NADIA,18556,27.7,Female,0.0837453921643359,198,False,5,2
ELSA,18315,21.8,Female,0.0826577310567909,200,False,4,2
SORAYA,17994,32.7,Female,0.0812090206189405,201,False,6,3
RUTH,17949,34.3,Female,0.0810059303706437,203,False,4,1
YOUSSEF,17899,24.6,Male,0.0825682123038676,162,False,7,2
ENZO,17362,5.6,Male,0.0800910275445415,167,False,4,2
SAUL,17294,18.5,Male,0.0797773430685002,169,False,4,1
ALONSO,17075,29.8,Male,0.0787670945353673,171,False,6,3
ADRIA,16988,20.1,Male,0.0783657629263145,172,False,5,2
ERIKA,16953,22.1,Female,0.0765108662083416,210,False,5,3
NAIARA,16920,19.3,Female,0.0763619333595906,211,False,6,2
ALMA,16849,7.5,Female,0.0760415020789446,212,False,4,2
PAOLA,16585,20.6,Female,0.0748500392889368,213,False,5,2
MAR,16576,15.9,Female,0.0748094212392774,214,False,3,1
ROGER,16550,26.7,Male,0.0763452658600485,174,False,5,2
MATIAS,16516,38.9,Male,0.0761884236220279,175,False,6,2
AINA,16505,15.2,Female,0.0744889899586314,216,False,4,2
ERIK,16486,12.9,Male,0.0760500334120097,176,False,4,2
KEVIN,16437,21.3,Male,0.0758239960689799,177,False,5,2
MARTI,16408,18.6,Male,0.0756902188659623,178,False,5,2
LEYRE,16256,14.1,Female,0.0733652239180558,217,False,5,2
VEGA,16198,6.7,Female,0.0731034631535844,220,False,4,2
ELIAS,16193,39.0,Male,0.0746984223608318,180,False,5,2
JUAN PABLO,16146,38.5,Male,0.0744816110318032,181,True,10,3
ANDER,15772,21.3,Male,0.0727563464135761,183,False,5,2
ALEXANDER,15570,29.3,Male,0.0718245189994535,184,False,9,4
VERA,15470,10.6,Female,0.0698179142478054,222,False,4,2
AIDA,15455,33.4,Female,0.0697502174983731,223,False,4,2
AFRICA,15365,25.3,Female,0.0693440370017795,224,False,6,3
GUILLEM,15310,21.9,Male,0.0706251371792956,185,False,7,2
CARLES,15299,39.0,Male,0.070574394102289,186,False,6,2
MACARENA,15232,31.2,Female,0.0687437924901468,225,False,8,4
ABRIL,15097,8.5,Female,0.0681345217452565,226,False,5,2
JULEN,14779,16.9,Male,0.0681756304619732,192,False,5,2
ESTELA,14771,29.4,Female,0.066663245724262,227,False,6,3
AMAIA,14666,31.0,Female,0.0661893684782362,228,False,5,2
KHADIJA,14443,33.6,Female,0.0651829434700099,229,False,7,3
TATIANA,14438,35.4,Female,0.0651603778868658,230,False,7,3
YAIZA,14424,21.1,Female,0.0650971942540623,231,False,5,2
ABRAHAM,14408,25.5,Male,0.066464204864748,197,False,7,3
ALEIX,14130,17.5,Male,0.0651817889185792,200,False,5,2
ELISABETH,14011,36.4,Female,0.0632332770863607,232,False,9,4
SARAY,13808,22.4,Female,0.0623171144107108,235,False,5,2
IRIA,13780,17.8,Female,0.0621907471451039,236,False,4,2
XABIER,13461,29.3,Male,0.062095687235173,206,False,6,2
AMANDA,13424,26.9,Female,0.0605840776252449,238,False,6,3
IRIS,13279,19.6,Female,0.0599296757140664,239,False,4,2
GORKA,13203,30.7,Male,0.0609055314290163,207,False,5,2
FERRAN,13023,31.1,Male,0.0600751901689071,208,False,6,2
